        UC,Название,Актор,Модуль,Предусловие,Триггер,Основной сценарий,Альтернативные потоки,Постусловие
UC-23,Написание и публикация статьи,Автор,Статьи,Пользователь авторизован,Нажатие «Создать статью»,"1. POST /api/articles (черновик); 2. Заголовок/лид/тело; 3. Загрузка изображений → S3; 4. Категория; 5. LinkedSet (опц.); 6. Автосохранение каждые 30 сек; 7. Предпросмотр; 8. POST /api/articles/:id/publish; 9. Уведомления подписчикам sub_new_article","A1: Пустой заголовок → блокировка; A2: Файл велик → ошибка; A3: Анонимно → is_anonymous=true; A4: Закрыл без публикации → черновик сохранён","Статья опубликована; articles_count +1"
UC-24,Редактирование статьи,Автор,Статьи,"Статья существует (черновик или опубликована)",Нажатие «Редактировать»,"1. Редактор с текущим содержимым; 2. Изменения; 3. PUT /api/articles/:id; 4. Изменения видны читателям сразу","A1: Удаление изображения → DELETE /api/articles/images/:id → удаление из S3",Статья обновлена
UC-25,Комментирование статьи,Пользователь,Статьи,"Статья опубликована, пользователь авторизован",Ввод текста в поле комментария,"1. POST /api/articles/:id/comments; 2. Комментарий в списке; 3. Уведомление автору comment_on_my; 4. Ответ → comment_reply; 5. Лайк → POST /api/comments/:id/like","A1: Редактирование → PUT /api/comments/:id; A2: Удаление → is_deleted=true → «[удалено]»","comments_count +1"
UC-26,Анонимная публикация,Автор,Статьи / Наборы,Создаёт статью или набор,Toggle «Опубликовать анонимно»,"1. is_anonymous=true; 2. В ленте: «🔒 Анонимный автор»; 3. Клик → заблокирован; 4. В аккаунте помечено «Анонимно»; 5. Раскрыть: PUT {is_anonymous: false}","A1: Попытка узнать автора через API → author_id не возвращается","author_id хранится в БД; скрыт от клиентов"
UC-27,Создание собственного набора,Автор,Наборы,Пользователь авторизован,Нажатие «Создать набор»,"1. POST /api/sets (черновик); 2. Заголовок / описания; 3. Категория и тип; 4. Добавление позиций; 5. Видимость: публичный/приватный; 6. Предпросмотр; 7. POST /api/sets/:id/publish","A1: Приватный → source=own; A2: Публичный → source=community; A3: Анонимно → UC-26; A4: Добавить в конверт → позиции frozen → UC-12","Набор опубликован; sets_count +1"
UC-28,Редактирование набора,Автор,Наборы,"Набор существует, принадлежит автору",Нажатие «Редактировать»,"1. Форма с текущими данными; 2. Изменения; 3. PUT /api/sets/:id; 4. Изменения видны другим пользователям",,Набор обновлён
UC-29,Подписка на автора,Пользователь,Социальное,"Оба существуют, не подписан",Нажатие «Подписаться»,"1. POST /api/users/:id/follow; 2. Уведомление автору new_follower; 3. Контент в ленте приоритетно; 4. Режим «Подписки» в Feed","A1: Уже подписан → кнопка «Вы подписаны»; A2: Отписка → DELETE /api/users/:id/follow; A3: Приватный профиль → кнопка недоступна","follows создан; followers_count +1"
UC-30,Просмотр профиля автора,Пользователь,Социальное,"Профиль публичный, аккаунт активен",Клик на имя автора,"1. GET /api/users/:id; 2. Аватар / имя / bio / статистика; 3. GET /api/users/:id/articles; 4. GET /api/users/:id/sets; 5. Подписаться → UC-29","A1: Ghost → «Аккаунт удалён»; A2: Анонимный → переход заблокирован",—
UC-31,Лайк набора или статьи,Пользователь,Социальное,"Авторизован, контент существует",Нажатие ❤️,"1. Оптимистичное обновление +1; 2. POST /api/sets/:id/like или /articles/:id/like; 3. Milestone (50/100/500) → уведомление автору like_milestone","A1: Убрать лайк → DELETE; A2: Ошибка сервера → откат обновления","set_likes / article_likes создан"
UC-32,Просмотр уведомлений,Пользователь,Уведомления,Есть уведомления,Клик на колокол или переход в /notifications,"1. GET /api/notifications; 2. Непрочитанные выделены; 3. Клик → редирект по payload; 4. POST /api/notifications/:id/read; 5. «Прочитать все» → POST /api/notifications/read-all","A1: Нет уведомлений → «Всё тихо 🎉»; A2: Фильтр по типу","Прочитанные помечены; счётчик обнуляется"
UC-33,Real-time доставка уведомлений,Система,Уведомления,"Пользователь авторизован, онлайн",Создание нового уведомления в БД,"1. SSE-соединение при открытии; 2. Сервер пушит событие; 3. Счётчик на колоколе обновляется; 4. Тост поверх интерфейса","A1: SSE недоступен → polling каждые 30 сек",Пользователь видит уведомление в реальном времени
UC-34,Еженедельный дайджест,Система,Уведомления,weekly_digest включён в настройках,Каждое воскресенье в 18:00,"1. Сводка: over / urgent / новые SS наборы / новые статьи подписок; 2. Уведомление weekly_digest; 3. Клик → детали","A1: Нет изменений → дайджест не создаётся; A2: Отключён → пропуск",Пользователь проинформирован
UC-35,Уведомление о заморозке,Система,Уведомления,Набор добавлен в конверт (UC-10),Завершение POST /api/sets/:id/save,"1. Уведомление inv_frozen: «Добавлено N позиций»; 2. Тостер; 3. Ежедневное напоминание пока есть frozen; 4. Последняя активирована → «Все позированы ✅»","A1: Напоминание уже было сегодня → не дублировать",Пользователь знает о замороженных позициях
UC-36,Ghost-аккаунт после удаления,Система,Система,Пользователь выполнил UC-05,Статус аккаунта → deleted,"1. Анонимизация email и данных; 2. Публикации → ghost_user; 3. В ленте «👻 Привидение»; 4. GhostProfile: «Аккаунт удалён»; 5. Через 30 дней — полная очистка",,Контент сохранён; данные удалены
UC-37,Поиск по контенту,Пользователь,Система,Пользователь авторизован (опц.),Ввод запроса в поисковую строку,"1. GET /api/search?q=&type=; 2. Поиск по: sets (title/desc/items) / articles (title/excerpt/body) / users (name/handle/bio); 3. Результаты по типам; 4. Клик → страница","A1: Запрос < 2 символов → не искать; A2: Нет результатов → «Ничего не найдено»",—
